SG96,40,25,30.60646,-86,54,57.00805,156.733,507139.495,4474951.897,156.733,0.001,0.007,0.004
SG113,40,25,34.49620,-86,54,55.62067,156.110,507172.072,4475071.861,156.110,0.002,0.002,0.007
SG159,40,25,32.57055,-86,54,48.64965,154.920,507336.388,4475012.646,154.920,0.004,0.001,0.009
SGC1,40,25,20.45114,-86,55,40.53483,156.284,506114.115,4474637.873,156.284,0.012,0.001,0.001
SGC2,40,25,22.78080,-86,55,37.21139,156.274,506192.371,4474709.767,156.274,0.011,0.014,0.003
SGC3,40,25,20.10750,-86,55,23.23486,155.068,506521.786,4474627.621,155.068,0.008,0.015,0.001
SGC4,40,25,14.72793,-86,55,24.04026,152.837,506502.951,4474461.737,152.837,0.016,0.003,0.035
SGC5,40,25,15.78176,-86,55,35.79240,153.877,506225.987,4474493.994,153.877,0.008,0.011,0.014
SGC10,40,25,15.30817,-86,55,29.27704,153.096,506379.532,4474479.521,153.096,0.008,0.012,0.021
SGC11,40,25,26.40766,-86,55,36.55862,162.539,506207.660,4474821.606,162.539,0.015,0.012,0.020
SGC12,40,25,26.40944,-86,55,36.07513,162.559,506219.053,4474821.671,162.559,0.016,0.013,0.020
SGC13,40,25,24.87212,-86,55,36.06277,162.584,506219.383,4474774.271,162.584,0.011,0.012,0.020
SGC14,40,25,24.87019,-86,55,36.54781,162.562,506207.954,4474774.202,162.562,0.010,0.011,0.020
SGC15,40,25,18.54172,-86,55,18.14222,153.746,506641.834,4474579.449,153.746,0.001,0.001,0.007
SGC16,40,25,26.67959,-86,55,18.60260,157.237,506630.763,4474830.353,157.237,0.019,0.017,0.007
SGC17,40,25,52.25806,-86,54,50.59270,157.991,507290.013,4475619.625,157.991,0.023,0.005,0.010
SGC19,40,25,53.28491,-86,54,54.89810,157.665,507188.542,4475651.188,157.665,0.005,0.000,0.001
SGC20,40,25,52.34763,-86,54,59.37844,157.135,507083.007,4475622.188,157.135,0.017,0.004,0.001
SGC21,40,25,49.51759,-86,54,56.35150,157.131,507154.409,4475534.997,157.131,0.010,0.002,0.011
