'1fps_image_0041.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0547517, -0.99793, 0.0337486, -63.3609], [-0.78642, 0.0222712, -0.617291, -0.98039], [0.615261, -0.0603383, -0.786011, 59.2708], [0.0, 0.0, 0.0, 1.0]] , [2510.21, 2510.21, 2048.0, 1080.0]
'1fps_image_0042.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0240917, -0.999329, 0.0275804, -61.9729], [-0.783564, 0.0017426, -0.621308, -1.06788], [0.620844, -0.0365794, -0.78308, 61.8054], [0.0, 0.0, 0.0, 1.0]] , [2512.4200000000001, 2512.4200000000001, 2048.0, 1080.0]
'1fps_image_0043.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0864489, -0.995732, 0.0323269, -64.5954], [-0.785151, 0.0481212, -0.617432, 2.28233], [0.613241, -0.0787579, -0.78596, 60.139], [0.0, 0.0, 0.0, 1.0]] , [2512.8899999999999, 2512.8899999999999, 2048.0, 1080.0]
'1fps_image_0044.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.047671, -0.998466, 0.0281858, -62.9193], [-0.78156, 0.0197136, -0.623519, 1.81001], [0.622006, -0.0517527, -0.7813, 62.7378], [0.0, 0.0, 0.0, 1.0]] , [2510.8299999999999, 2510.8299999999999, 2048.0, 1080.0]
'1fps_image_0045.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0623243, -0.997696, 0.0268197, -63.6267], [-0.783998, 0.0323104, -0.619922, 2.93299], [0.617627, -0.0596628, -0.784205, 63.0591], [0.0, 0.0, 0.0, 1.0]] , [2511.1100000000001, 2511.1100000000001, 2048.0, 1080.0]
'1fps_image_0046.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0342675, -0.999141, 0.0233186, -62.1728], [-0.783332, 0.0123613, -0.621481, 2.49204], [0.620659, -0.0395628, -0.783082, 64.8622], [0.0, 0.0, 0.0, 1.0]] , [2511.9499999999998, 2511.9499999999998, 2048.0, 1080.0]
'1fps_image_0047.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0497762, -0.998571, 0.0194775, -62.7683], [-0.778997, 0.0266116, -0.626463, 4.2424], [0.625049, -0.0463558, -0.779208, 65.0329], [0.0, 0.0, 0.0, 1.0]] , [2511.8299999999999, 2511.8299999999999, 2048.0, 1080.0]
'1fps_image_0048.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0595534, -0.998058, 0.0182778, -63.2978], [-0.783626, 0.0354, -0.620223, 4.34913], [0.618372, -0.0512594, -0.784212, 65.0127], [0.0, 0.0, 0.0, 1.0]] , [2511.79, 2511.79, 2048.0, 1080.0]
'1fps_image_0049.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0459974, -0.998737, 0.0202097, -62.8728], [-0.781685, 0.0233897, -0.623235, 3.58787], [0.621975, -0.0444648, -0.781773, 65.2859], [0.0, 0.0, 0.0, 1.0]] , [2511.71, 2511.71, 2048.0, 1080.0]
'1fps_image_0050.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0401164, -0.99881, 0.0277267, -62.9031], [-0.786664, 0.0144621, -0.617212, 2.29582], [0.616077, -0.0465719, -0.786308, 64.9398], [0.0, 0.0, 0.0, 1.0]] , [2511.5900000000001, 2511.5900000000001, 2048.0, 1080.0]
'1fps_image_0051.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0554087, -0.998186, 0.0235558, -63.4177], [-0.784916, 0.0289645, -0.618925, 3.09499], [0.617119, -0.0527831, -0.785097, 64.49], [0.0, 0.0, 0.0, 1.0]] , [2511.3299999999999, 2511.3299999999999, 2048.0, 1080.0]
'1fps_image_0052.jpg' , [-92.215197, 37.648858, 300.0] , [[-0.0353023, -0.998844, 0.0326174, -62.7828], [-0.787386, 0.00769968, -0.616412, 1.90248], [0.615448, -0.0474432, -0.786748, 64.761], [0.0, 0.0, 0.0, 1.0]] , [2512.04, 2512.04, 2048.0, 1080.0]
